Course,Name,Description,Prerequisites,Lab,Hours,Focus,Semester,ClassSize,CatLink,RegLink
GEOG 329,GIS Applications and Tools,"The basics of GIS tool development including applications, desktop GIS customization, map mashups, model building in a GIS environment, Internet GIS, building web pages that include GIS maps and tasks.","Complete all of: GEOG 222, GEOG 228; minimum third-year standing; Complete 1 of the following: GEOG 226, 1.5 units minimum 200 level STAT or equivalent",Lab,2-2-0,Geomatics,Spring,66,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/S1DXr_TQ4?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG329%20-%20GIS%20Applications%20and%20Tools&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=329
GEOG 332,Urban Development in the Global South,"Examines fundamental characteristics of cities in the Global South with a focus on issues of urban development as well as social, cultural, economic, and environmental challenges in the region. Addresses the driving forces of urban growth and investigates the consequences of this transformation in terms of economic and human development as well as environmental sustainability. Discussion and analysis of contentious urban issues and case studies from the Global South.","GEOG 211, GEOG 218",,3-0-0,Human,Fall,40,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/ryeDQHd67E?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG332%20-%20Urban%20Development%20in%20the%20Global%20South&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202209&txt_subject=GEOG&txt_courseNumber=332
GEOG 339,Disaster Management and Community Resilience,"Explores hazard events and the factors and conditions that lead to disasters. Covers such events as earthquakes, hurricanes, tsunamis, floods, droughts and examines their human and natural dimensions.Emphasis on understanding vulnerability and risk assessment, sustainable hazards mitigation and disaster management approaches to enhancing community resilience.","GEOG 103, GEOG 211, GEOG 218; Credit will be granted for only one of GEOG 339, GEOG 391 (if taken in the same topic), GEOG 472; Formerly part of GEOG 472",,3-0-0,Human,Spring,24,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/HyumH_aXE?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG339%20-%20Disaster%20Management%20and%20Community%20Resilience&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=339
GEOG 340,Cities and Planning,Overview of key thematic areas related to cities and planning in the North American context. Includes a critical examination of the history of urban planning and contemporary issues in urban geography to foster a deeper appreciation of the spatial politics of the urban experience.,"Complete 1 of: GEOG 211, GEOG 218; Credit will be granted for only one of GEOG 340, GEOG 340B, GEOG 349",,3-0-0,Human,Fall,65,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/Bkgu7r_pQ4?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG340%20-%20Cities%20and%20Planning&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202209&txt_subject=GEOG&txt_courseNumber=340
GEOG 346,"Health, Environment and Community","Examines the dynamics and linkages between health and the environment at the micro scale of individuals to the macro scale of communities and nations. Definitions of health, wellness and well-being, as well as healthy communities; focusing on the range of factors, conditions and determinants that make people and place healthy or unhealthy.","Complete 1 of: GEOG 209, GEOG 211, GEOG 218; Recommendations: GEOG 226 or 1.5 units 200 level STAT",,3-0-0,Human,Fall,60,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/HyamSu6QE?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG346%20-%20Health%2C%20Environment%20and%20Community&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202209&txt_subject=GEOG&txt_courseNumber=346
GEOG 347B,Geographies of Development,"A critical examination of development theories, trends and issues. Topics included are the definition and measurement of poverty and inequality, an overview of global population growth and structure, the impact of globalization on third-world economies, the effectiveness of foreign aid, and food security constraints.","GEOG 211; Credit will be granted for only one of GEOG 347B, GEOG 347",,3-0-0,Human,Fall,24,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/BJyNSOa7V?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG347B%20-%20Geographies%20of%20Development&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202209&txt_subject=GEOG&txt_courseNumber=347B
GEOG 353,Coastal and Marine Resource Management,"An integration of the scientific, cultural, and policy dimensions of resource management in coastal and marine systems. Concepts will be illustrated with examples from wildlife and fisheries management. Although global context is set, a special focus will be on British Columbia's coast.","Complete 1 of: GEOG 209, GEOG 252, GEOG 352; permission of the instructor; Credit will be granted for only one of GEOG 353, GEOG 452",,3-0-0,Environment,Spring,55,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/HkMNrdaQV?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG353%20-%20Coastal%20and%20Marine%20Resource%20Management&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=353
GEOG 357,Parks and Protected Areas,"An investigation of the principles and concepts underlying the designation, planning and management of protected areas such as national and provincial park systems. Topics include: the history and philosophy of protected areas; international classifications and examples; role of native peoples; carrying capacity; visitor management; interpretation; ecosystem integrity; ecosystem management; and a variety of case studies. Students should be prepared to undertake one or more weekend field trips; a fee for each field trip may be applied.","GEOG 209; Credit will be granted for only one of GEOG 357, GEOG 455, GEOG 459A, GEOG 459B.",,3-0-0,Environment,??,,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/S1VNSOaXV?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG357%20-%20Parks%20and%20Protected%20Areas&bcGroup=Geography%20(GEOG)&bcItemType=courses,
GEOG 358,Landscape Ecology,"Landscape ecology emphasizes the interaction between spatial pattern and ecological processes. Focus is on the role of spatial heterogeneity in affecting the distribution and abundance of organisms, mass and energy transfers, and alterations of this structure by natural or anthropogenic forces. Implications for wildlife management and conservation are discussed.","One of GEOG 101A, GEOG 103; Complete 1 of the following GEOG 226, 1.5 units minimum 200 level STAT or equivalent; Complete 1 of: BIOL 215, ES 240, ES 348; 1.5 units 100 level MATH; minimum third-year standing; GEOG 274 recommended prior to GEOG 358",,3-0-0,Environment Physical,??,,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/ByrEBuTQE?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG358%20-%20Landscape%20Ecology&bcGroup=Geography%20(GEOG)&bcItemType=courses,
GEOG 370,Hydrology,"An overview of hydrological processes, measurement techniques and data analysis. The movement of water in the hydrologic cycle via precipitation, interception, evapotranspiration, surface runoff, infiltration, soil moisture, groundwater flow and streamflow generation are examined. Applied aspects and local examples are discussed. Involves laboratory assignments and a field trip.",Complete all of: GEOG 272; Completed or concurrently enrolled in: EOS 340; 1.5 units of 100-level MATH; minimum third-year standing; Note: EOS 340 can be taken as a prerequisite or a corequisite.,Lab,3-2-0,Physical,Spring,44,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/H1cVBupmN?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG370%20-%20Hydrology&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=370
GEOG 371,Water Resources Management,"A study of water resources management in different parts of the world, examining the influence of various physical, economic, social, political and technological factors. Examines the alternative ways in which such problems as water scarcity, floods and declining water quality are handled. Examines in detail a number of major water development schemes. Students are expected to undertake a modest research project and report upon it.","GEOG 209, GEOG 272",,3-0-0,Environment Physical,??,,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/Syj4Bd67N?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG371%20-%20Water%20Resources%20Management&bcGroup=Geography%20(GEOG)&bcItemType=courses,
GEOG 373,Applied Climatology,A study of the application of physical principles to practical problems in climatology and the reciprocal interaction between climate and human activities. Topics include: urban effects on climate; air pollution; human bioclimatology; agricultural climatology; and methods of microclimatic modification.,GEOG 272; 1.5 units 100 level MATH; minimum third-year standing,Lab,3-2-0,Physical,Spring,48,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/Bk24BupmN?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG373%20-%20Applied%20Climatology&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=373
GEOG 376,Process Geomorphology,"An investigation of the physical processes that create and maintain landforms. Focus on measurement and analysis of morphodynamic processes in fluvial, aeolian, coastal, glacial, hillslope, and/or periglacial landscapes (e.g., sediment transport, erosion, wind/wave energy, river discharge, glacial dynamics, weathering rates). Involves a field trip and/or a group project.","Complete 1 of the following: GEOG 276, Complete all of: EOS 120, EOS 201; Complete 1.5 units from MATH  100 - 199; minimum third-level standing",Lab,3-2-0,Physical,Fall,72,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/SypNB_a7V?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG376%20-%20Process%20Geomorphology&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202209&txt_subject=GEOG&txt_courseNumber=376
GEOG 380,Community Mapping,"Examines the theory and practice of community based mapping and how it can facilitate dialogue and collaborative partnering, thus leading to knowledge co-creation, planning, citizen empowerment and engagement, building consensus, more informed policy making and ultimately social justice. This course is designed to be action-oriented and experiential, and has a very high local field component.","Minimum third-year standing; Credit will be granted for only one of GEOG 380, GEOG 391 (if taken in the same topic)",,3-0-0,Human,Fall Spring,25,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/H1kBHup7N?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG380%20-%20Community%20Mapping&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=380
GEOG 386,Contemporary Geopolitics,An overview of global geopolitics and the transformation of the world political map. Examination of key concepts and approaches to contemporary geopolitics through a series of regional case studies.,"Minimum second-year standing; Credit will be granted for only one of GEOG 386, GEOG 348",,3-0-0,Human,Fall,50,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/BygHr_amV?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG386%20-%20Contemporary%20Geopolitics&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202209&txt_subject=GEOG&txt_courseNumber=386
GEOG 388,Topics in Regional Studies,"Geography of a selected region of the world from a systematic perspective. Topics may include: the physical and human landscape; settlement; economic, political and social geography; spatial variation in modernization and economic growth.","Not open to students with credit in GEOG 466 without permission of the department; Credit will be granted for only one of GEOG 388, GEOG 288; Credit will be granted for only one of GEOG 388, GEOG 382; Credit will be granted for only one of GEOG 388, GEOG 383; May be taken more than once for credit in different topics with permission of the department.",,3-0-0,Elective,Fall,30,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/ryZrHOamV?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG388%20-%20Topics%20in%20Regional%20Studies&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202209&txt_subject=GEOG&txt_courseNumber=388
GEOG 391,Topics in Geography: Indigenous Geographies,Examination of a specific topic or area in Geography. Topic(s) are provided in advance of registration.,Minimum second-year standing; dditional prerequisites set by department depending upon topic; May be taken more than once for credit in different topics,,3-0-0,Human,Fall,30,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/rJMSr_67V?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG391%20-%20Topics%20in%20Geography&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202209&txt_subject=GEOG&txt_courseNumber=391
GEOG 391,Topics in Geography: Community Engaged Research and Practice,Examination of a specific topic or area in Geography. Topic(s) are provided in advance of registration.,Minimum second-year standing; dditional prerequisites set by department depending upon topic; May be taken more than once for credit in different topics,,3-0-0,Human,Spring,24,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/rJMSr_67V?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG391%20-%20Topics%20in%20Geography&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=391
GEOG 391,Topics in Geography: Geography of Surfing,Examination of a specific topic or area in Geography. Topic(s) are provided in advance of registration.,Minimum second-year standing; dditional prerequisites set by department depending upon topic; May be taken more than once for credit in different topics,,3-0-0,Human,Spring,24,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/rJMSr_67V?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG391%20-%20Topics%20in%20Geography&bcGroup=Geography%20(GEOG)&bcItemType=courses,
GEOG 404,Space and Power,"nvestigates how political processes shape human geography, and conversely, how assumptions about geography underscore global politics. Examines the key themes, concepts, and theories that define the study of politics from a geographical perspective. Students gain a critical understanding of and appreciation for the historical and contemporary challenges of sovereignty, territoriality, governmentality, identity, citizenship, difference, violence, genocide, colonialism, and war.","Complete 1 of: GEOG 332, GEOG 344, GEOG 347B, GEOG 386; Credit will be granted for only one of GEOG 404, GEOG 491 (if taken in the same topic)",,3-0-0,Human,??,,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/BJmHB_67E?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG404%20-%20Space%20and%20Power&bcGroup=Geography%20(GEOG)&bcItemType=courses,
GEOG 405,Dynamics of the Cryosphere,"Explores the dynamics of the four main elements of the Earth's cryosphere - glaciers, snow cover, floating ice and permafrost - in physical, climatological, hydrological and Earth system contexts. A field trip fee may be applied.","Complete 1 of: GEOG 370, GEOG 373, EOS 340; Credit will be granted for only one of GEOG 405, GEOG 491 (if taken in the same topic)",,3-0-0,Physical,Fall,25,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/BJKt515cS?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG405%20-%20Dynamics%20of%20the%20Cryosphere&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202209&txt_subject=GEOG&txt_courseNumber=405
GEOG 406,Sustainable Cities,"Explores the opportunities and challenges of creating ecologically-minded, resilient, healthy, and socially just cities with a practical, community-engaged focus.","Complete 2 of: GEOG 209, GEOG 332, GEOG 340, GEOG 346",,3-0-0,Human,Spring,30,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/BJgQHB_pm4?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG406%20-%20Sustainable%20Cities&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=406
GEOG 407,Activism and Community-Based Planning,"Investigates participatory approaches to community planning in urban settings. Challenges modernist traditions in planning theory by examining key themes, concepts, and theories that define the study of planning from an activist perspective. Provides students with an opportunity to become actively engaged in their community.","Complete 1 of: GEOG 332, GEOG 340, GEOG 343",,3-0-0,Human,??,,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/S14rHd6XN?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG407%20-%20Activism%20and%20Community-Based%20Planning&bcGroup=Geography%20(GEOG)&bcItemType=courses,
GEOG 409,Personal Space,"Collective exploration of how geographical interests in gender, sexuality and identity intersect with a student's own personal and unique spaces of reflection, action and interaction. Themes may include: Feminist, Lesbian, Gay, Bisexual, Trans, Non-binary, Queer, Two-Spirit and Masculinist discourses as they relate to geographies of social justice; the reciprocal role of space in the creation, loss, and (re)claiming of identities; the body as a site of struggle; and intersectionality with a wide variety of lived experiences.","Minimum fourth-year standing; Credit will be granted for only one of GEOG 409, GEOG 391 (if taken in the same topic), GEOG 491 (if taken in the same topic)",,3-0-0,Human,Spring,25,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/By8VBnAVL?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG409%20-%20Personal%20Space&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=409
GEOG 411,Community-based Participatory Research,Theory and practice of Community-based Participatory Research (CBPR) with a special focus on addressing community-identified research needs linked to the United Nations Sustainable Development Goals (UN SDG). Familiarizes students with the UN SDGs and explores CBPR as an important mechanism for bridging diverse and co-created knowledges into local action through community partnerships.,"GEOG 227, Or permission of the instructor; Minimum third-year standing; Credit will be granted for only one of GEOG 411, GEOG 491 (if taken in the same topic).",,3-0-0,??,Fall,25,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/SJbmfM2Ot?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG411%20-%20Community-based%20Participatory%20Research&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202209&txt_subject=GEOG&txt_courseNumber=411
GEOG 418,Advanced Spatial Analysis and Geo-statistics,"Explores advanced topics in the numerical analysis of points, lines, areas, and surfaces in discrete and continuous space, drawing on methodologies from geo-statistics, spatial analysis, regional sciences and landscape ecology. Includes coverage of spatial systems modelling and simulation, spatio-temporal analysis, exploratory spatial analysis and spatial data mining.","Complete 1 of: GEOG 328, GEOG 329; GEOG 328 and GEOG 329 recommended prior to GEOG 418; May be offered as a joint undergraduate and graduate class",Lab,2-3-0,Geomatics,Fall,35,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/SkxBHHupXN?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG418%20-%20Advanced%20Spatial%20Analysis%20and%20Geo-statistics&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202209&txt_subject=GEOG&txt_courseNumber=418
GEOG 420,Field Studies in Coastal Geomatics,"An integrated approach for using geomatics (remote sensing, GIS, spatial analysis) for data acquisition, processing and analysis to improve our understanding of marine and coastal areas. Topics focus on applications of geomatics for environmental and social lab work and seminar discussions. Students should be prepared to undertake one or more weekend field trips; a fee for each field trip may be applied.","GEOG 319; Complete 1 of: GEOG 328, GEOG 329; GEOG 252 and one of GEOG 370, GEOG 373, GEOG 376 recommended prior to GEOG 420.",Lab,2-3-0,Geomatics,??,,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/r1ISrOamV?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG420%20-%20Field%20Studies%20in%20Coastal%20Geomatics&bcGroup=Geography%20(GEOG)&bcItemType=courses,
GEOG 422,Advanced Topics in Remote Sensing,"Aspects of remote sensing including processing and classification of digital satellite and airborne data and digital elevation modelling. Emphasis on the processes of interpreting remotely sensed data, the enhancement of digital data for visual analysis and the integration of remotely sensed data with other spatial data.","Complete 1 of: GEOG 319, GEOG 322; GEOG 319 and GEOG 322 recommended prior to GEOG 422.",Lab,2-3-0,Geomatics,Spring,22,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/BkvHSupmE?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG422%20-%20Advanced%20Topics%20in%20Remote%20Sensing&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=422
GEOG 424,Field Studies in Coastal Geomorphology,"An advanced, field-based exploration of coastal geomorphic processes and landforms. Involves a week-long field trip to local coastal sites where students apply geomorphic concepts and methods towards a series of independent research assignments and/or group projects. Areas of investigation span nearshore to backshore environments and wave, tidal, fluvial/estuarine and aeolian processes. A field trip fee may be applied.",GEOG 376; GEOG 252 recommended prior to GEOG 424; permission of the department; Permission of the department must be acquired by 15 March of previous Winter Session.,,3-0-0,Physical,Spring,24,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/SylwBr_TmE?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG424%20-%20Field%20Studies%20in%20Coastal%20Geomorphology&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=424
GEOG 428,Advanced Topics in Geographic Information Sciences,"Contemporary research topics in the geographic information sciences. Topic varies annually, but are selected from one of the following: spatial decision support; visualization; business demographics; environmental modeling; or spatial analysis.","Complete 1 of: GEOG 328, GEOG 329; GEOG 328 and GEOG 329 recommended prior to GEOG 428; Credit will be granted for only one of GEOG 428, GEOG 423",Lab,2-3-0,Geomatics,Spring,40,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/r1KHB_67N?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG428%20-%20Advanced%20Topics%20in%20Geographic%20Information%20Sciences&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=428
GEOG 438,Aquaculture in British Columbia,"Introduction to the aquaculture industry within British Columbia, reviewing the history, culture species, production methods (hatchery through seafood processing), technological innovations, economics, marketing, environmental impacts/management, social issues (including First Nations), and the regulatory framework for this agri-food industry. Includes a field trip to aquaculture sites. Students should be prepared to undertake one or more weekend field trips, or a week-long field trip; a fee for each field trip may be applied.","Complete 1 of: GOEG 304, GEOG 353",,3-0-0,Environment,Spring,25,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/rkqHr_p7E?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG438%20-%20Aquaculture%20in%20British%20Columbia&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=438
GEOG 450,Environment and Sustainability in Practice,"Examines the decision making theory and real world processes associated with resource management at the policy and field levels. Case studies used to illustrate decision making behaviour, from conflict to co-operation. May include simulation sessions, field trips and field methods review.","Complete 2 of: GEOG 310, GEOG 303, GEOG 304, GEOG 314, GEOG 339, GEOG 353, GEOG 357, GEOG 358, GEOG 371; Credit will be granted for only one of GEOG 450, GEOG 450A",,3-0-0,Environment,Spring,30,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/BylIrO6QE?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG450%20-%20Environment%20and%20Sustainability%20in%20Practice&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=450
GEOG 453,Field Studies in Coastal and Marine Management,"Integrated coastal management is applied through community-based research. Based on a week-long field camp, discussions, projects and presentations, students gain first-hand experience in both biophysical and socio-economic perspectives of coastal areas. A field trip fee may be applied.",GEOG 353,,3-0-0,Environment,??,,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/SJ4UrOam4?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG453%20-%20Field%20Studies%20in%20Coastal%20and%20Marine%20Management&bcGroup=Geography%20(GEOG)&bcItemType=courses,
GEOG 456,Wildlife Conservation,"An examination of the history of the conservation movement and wildlife management, human dimensions and the value of wildlife, and consequences of over-harvesting, habitat fragmentation, and invasive species for present-day wildlife conservation and, ways forward.","Complete 1 of: BIOL 370, ES 320, GEOG 274, GEOG 304, GEOG 358; Credit will be granted for only one of GEOG 456, GEOG 356; Formerly GEOG 356",,3-0-0,Environment,??,,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/By88SuTm4?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG456%20-%20Wildlife%20Conservation&bcGroup=Geography%20(GEOG)&bcItemType=courses,
GEOG 457,Marine Protected Areas,"An in-depth look at the challenges facing designation and management of marine protected areas in Canada and internationally. Includes topics such as network design, governance, zoning, conflicts, ecotourism and fisheries. Students should be prepared to undertake one or more field trips; a fee for each field trip may be applied.","GEOG 357; GEOG 252 and GEOG 304 recommended prior to GEOG 457; Credit will be granted for only one of GEOG 457, GEOG 455, GEOG 459A, GEOG 459B",,3-0-0,Environment,,,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/HJLLrdT7N?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG457%20-%20Marine%20Protected%20Areas&bcGroup=Geography%20(GEOG)&bcItemType=courses,
